AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LATITUDE,LON_DEGREES,LONGITUDE
1386501,13865,OLM,Olympia Regional,"Olympia, WA",United States,US,Washington,WA,53,33865,"Olympia, WA",93,46,46.97361111,122,-122.90333333
1386502,13865,OLM,Olympia Regional,"Olympia, WA",United States,US,Washington,WA,53,33865,"Olympia, WA",93,46,46.96944444,122,-122.90250000
1386601,13866,OLO,Olomouc Airport,"Olomouc, Czechoslovakia",Czechoslovakia,,,,,33866,"Olomouc, Czechoslovakia",417,49,49.58750000,17,17.20583333
1386602,13866,OLO,Olomouc Airport,"Olomouc, Czech Republic",Czech Republic,CZ,,,,33866,"Olomouc, Czech Republic",418,49,49.58750000,17,17.20583333
1386603,13866,OLO,Olomouc Airport,"Olomouc, Czech Republic",Czech Republic,CZ,,,,33866,"Olomouc, Czech Republic",418,49,49.58722222,17,17.21000000
1386604,13866,OLO,Olomouc Airport,"Olomouc, Czech Republic",Czech Republic,CZ,,,,33866,"Olomouc, Czech Republic",418,49,49.58750000,17,17.20583333
1386605,13866,OLO,Olomouc Airport,"Olomouc, Czech Republic",Czech Republic,CZ,,,,33866,"Olomouc, Czech Republic",418,49,49.58722222,17,17.21000000
1386701,13867,OLP,Olympic Dam Airport,"Olympic Dam, Australia",Australia,AU,,,,33867,"Olympic Dam, Australia",802,30,-30.48694444,136,136.86888889
1386702,13867,OLP,Olympic Dam Airport,"Olympic Dam, Australia",Australia,AU,,,,33867,"Olympic Dam, Australia",802,30,-30.48500000,136,136.87666667
1386703,13867,OLP,Olympic Dam Airport,"Olympic Dam, Australia",Australia,AU,,,,33867,"Olympic Dam, Australia",802,30,-30.48416667,136,136.87611111
1386801,13868,OLS,Nogales International,"Nogales, AZ",United States,US,Arizona,AZ,04,33868,"Nogales, AZ",81,31,31.41638889,110,-110.84916667
1386802,13868,OLS,Nogales International,"Nogales, AZ",United States,US,Arizona,AZ,04,33868,"Nogales, AZ",81,31,31.41777778,110,-110.84777778
1386901,13869,OLU,Columbus Municipal,"Columbus, NE",United States,US,Nebraska,NE,31,33869,"Columbus, NE",65,41,41.44722222,97,-97.34166667
1386902,13869,OLU,Columbus Municipal,"Columbus, NE",United States,US,Nebraska,NE,31,33869,"Columbus, NE",65,41,41.44805556,97,-97.34277778
1386903,13869,OLU,Columbus Municipal,"Columbus, NE",United States,US,Nebraska,NE,31,33869,"Columbus, NE",65,41,41.44861111,97,-97.34083333
1386904,13869,OLU,Columbus Municipal,"Columbus, NE",United States,US,Nebraska,NE,31,33869,"Columbus, NE",65,41,41.44805556,97,-97.34277778
1386905,13869,OLU,Columbus Municipal,"Columbus, NE",United States,US,Nebraska,NE,31,33869,"Columbus, NE",65,41,41.44861111,97,-97.34083333
1387001,13870,OLV,Olive Branch Airport,"Olive Branch, MS",United States,US,Mississippi,MS,28,33870,"Olive Branch, MS",53,34,34.97888889,89,-89.78694444
1387002,13870,OLV,Olive Branch Airport,"Olive Branch, MS",United States,US,Mississippi,MS,28,33870,"Olive Branch, MS",53,34,34.97861111,89,-89.78694444
1387003,13870,OLV,Olive Branch Taylor Field,"Olive Branch, MS",United States,US,Mississippi,MS,28,33870,"Olive Branch, MS",53,34,34.97861111,89,-89.78694444
1387101,13871,OMA,Eppley Airfield,"Omaha, NE",United States,US,Nebraska,NE,31,33316,"Omaha, NE",65,41,41.30194444,95,-95.89333333
1387102,13871,OMA,Eppley Airfield,"Omaha, NE",United States,US,Nebraska,NE,31,33316,"Omaha, NE",65,41,41.30305556,95,-95.89416667
1387201,13872,OMB,Omboue Airport,"Omboue, Gabon",Gabon,GA,,,,33872,"Omboue, Gabon",526,1,-1.58333333,9,9.26666667
1387301,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51138889,165,-165.44166667
1387302,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51222222,165,-165.44527778
1387303,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51250000,165,-165.44444444
1387304,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51222222,165,-165.44527778
1387305,13873,OME,Nome Airport,"Nome, AK",United States,US,Alaska,AK,02,33873,"Nome, AK",1,64,64.51250000,165,-165.44444444
